Release date	Max resolution	Low resolution	Effective pixels	Zoom wide (W)	Zoom tele (T)	Normal focus range	Macro focus range	Storage included	Weight (inc. batteries)	Dimensions	Price
2007	3264	2592	8	35	105	50	15	32	225	91	159
2006	2816	2048	6	38	116	30	10	23	170	91	99
2006	2592	2048	5	38	116	30	10	23	170	91	99
2006	2272	1600	3	38	114	30	4	10	165	87	99
2006	3072	2592	7	38	190	50	4	8	210	97	99
2006	2816	2048	6	38	116	30	10	23	175	91	99
2005	3264	2592	8	35	126	50	4	32	185	91	99
2005	2592	2048	5	35	126	50	4	16	185	91	229
2006	3264	2592	8	36	126	30	4	23	200	92	229
2006	3264	2592	8	36	126	30	4	23	200	92	229
2007	3264	3200	8	28	102	50	5	52	210	95	229
2007	3648	2592	10	36	126	30	4	26	240	98	399
2007	4000	3264	12	35	123	30	4	52	250	98	399
2005	2592	2048	5	35	105	30	4	12	170	90	99
2006	2816	2048	6	38	380	30	4	16	280	113	99
2005	2592	2048	5	35	105	30	4	12	160	92	199
2007	3072	2592	7	38	114	60	10	20	165	92	229
2005	2816	2048	6	35	105	30	4	12	132	90	199
2005	2816	2048	6	38	380	30	6	13	225	112	199
2006	2816	2048	6	35	105	30	4	21	165	93	229
2007	3072	2592	7	38	114	30	4	13	165	88	229
2007	3072	2592	7	35	105	50	15	26	165	88	229
2007	3072	2592	7	38	114	30	4	13	165	88	329
2007	3264	2592	7	38	114	30	4	13	175	93	279
2007	3264	3200	8	35	105	50	15	52	125	88	399
2007	3264	2592	7	38	114	30	4	13	175	98	329
2006	2816	2048	6	35	105	30	4	20	170	101	199
2006	3072	2592	7	35	105	30	4	14	170	101	199
2006	2816	2048	6	38	114	25	4	24	165	91	199
2003	2016	1600	3	37	111	30	4	16	216	83	199
1999	2000	0	2	0	0	0	0	0	1200	157	1599
2002	3008	2240	6	0	0	0	0	0	780	144	1599
2001	2000	0	2	0	0	0	0	0	1200	157	1599
2001	3008	2000	5	0	0	0	0	0	1200	157	4699
2005	3872	2896	10	0	0	0	0	0	920	147	1599
2003	2464	1840	4	0	0	0	0	0	1200	158	1599
2005	2464	1840	4	0	0	0	0	0	1200	158	4699
2004	4288	3216	12	0	0	0	0	0	1200	158	4699
2006	4288	3216	12	0	0	0	0	0	1200	158	4699
2007	4256	3184	12	0	0	0	0	0	1300	160	4999
2007	4288	3216	12	0	0	0	0	0	925	147	1799
2006	3008	2256	6	0	0	0	0	0	522	124	549
2007	3872	2896	10	0	0	0	0	0	522	124	549
2005	3008	2256	6	0	0	0	0	0	620	133	1599
2004	3008	2240	6	0	0	0	0	0	679	140	1599
2005	3008	2240	6	0	0	0	0	0	679	140	1599
2006	3872	2896	10	0	0	0	0	0	668	132	1199
2001	1280	640	1	35	35	50	10	8	190	110	1699
2001	1280	1024	1	35	35	60	25	1	190	123	1699
2002	1600	1024	1	35	35	60	25	8	250	123	1699
2001	1280	640	1	38	114	50	20	8	190	110	1699
2001	1600	1024	1	36	36	50	10	16	220	110	1699
1999	1600	1024	1	35	105	80	20	8	380	108	129
2001	1600	1024	1	35	105	80	20	8	250	118	129
1999	1600	1024	1	35	105	80	20	8	380	108	129
2000	1600	1024	1	40	120	80	20	8	380	108	129
1999	1600	1024	1	38	38	60	15	8	190	107	1699
2000	1600	1280	1	38	380	60	10	8	540	113	129
1999	1712	1280	2	36	110	80	2	32	530	109	129
2000	2048	1600	3	32	96	80	20	8	380	109	1699
2002	1984	1600	3	36	100	80	20	16	300	118	1699
2001	2048	1600	3	32	96	80	20	8	380	109	1699
2000	2048	1600	3	32	96	80	20	16	380	109	1699
2000	2048	1600	3	35	105	80	20	16	420	109	1699
2002	2288	2048	3	32	96	80	2	16	400	110	129
2001	2272	2048	3	35	105	80	20	16	420	110	129
2001	2272	2048	3	35	98	80	10	16	270	87	1699
2003	2560	2272	4	38	114	50	4	32	280	105	449
2002	2560	2288	4	35	105	80	20	32	480	114	449
2003	2592	2288	5	27	110	80	3	32	480	116	449
2002	2560	2048	4	38	114	50	20	32	230	100	449
2005	2592	2288	5	38	190	60	8	16	340	110	129
2004	2816	2560	5	38	114	40	4	32	230	99	449
2004	3072	2592	7	38	190	60	2	32	280	102	129
2001	1600	1280	1	38	380	60	10	8	340	108	449
2005	3072	2592	7	27	110	80	3	32	480	116	129
2002	1984	1600	3	40	320	60	10	16	340	108	449
2002	2048	1600	3	38	380	60	10	16	400	108	449
2003	2048	1600	3	38	380	60	3	16	340	108	449
2003	2288	2048	3	38	380	60	3	16	340	108	449
2004	2288	2048	3	38	380	60	7	16	310	105	449
2004	2288	2048	3	38	380	60	7	32	310	105	449
2004	3264	2592	8	28	140	80	5	32	724	124	179
1996	640	320	0	36	36	75	20	2	320	145	129
1996	1024	512	0	36	36	50	20	6	320	145	1699
1998	1280	640	1	36	36	70	10	4	320	128	1699
1999	1280	640	1	36	36	70	10	8	320	128	1699
2000	1280	640	1	36	36	50	10	8	280	128	1699
2003	1600	1024	1	35	35	50	20	16	230	108	1699
2004	2048	1024	3	33	33	50	20	16	210	110	1699
1998	1280	640	1	35	105	80	20	8	320	127	129
2005	2288	1600	3	37	37	50	20	14	170	101	1699
2005	2592	1600	5	36	35	50	20	0	140	101	1699
1999	1280	640	1	35	105	80	20	8	320	127	129
2000	1280	640	1	35	105	80	20	8	320	127	449
2000	1600	640	1	35	105	80	20	8	320	127	129
1997	1024	640	0	50	150	60	30	2	490	115	449
2002	1600	1024	1	35	105	50	20	8	220	112	449
2004	2048	1600	3	38	114	50	2	12	190	88	449
2004	2048	1600	3	38	114	50	2	16	200	100	449
2005	2288	1600	3	38	114	50	2	14	190	106	449
2003	2048	1024	3	35	105	50	20	16	220	108	449
2004	2288	1600	3	35	105	50	7	16	210	108	179
2005	2560	1600	4	38	114	50	2	14	190	105	449
1997	1280	640	1	36	110	60	30	4	0	115	1699
1998	1280	640	1	36	110	60	30	8	520	115	1699
2005	2560	1600	4	35	105	60	10	14	175	94	129
2003	2560	1600	4	0	0	0	0	0	735	141	1699
2000	2240	1600	3	35	140	60	20	0	1190	129	1699
2000	1368	1280	1	38	380	60	10	16	603	108	129
2001	2560	1792	4	35	140	60	20	16	1190	129	1699
2007	3648	3200	10	0	0	0	0	0	800	142	1699
2004	3264	3200	8	0	0	0	0	0	624	147	1699
2006	3136	2560	7	0	0	0	0	0	616	140	1699
2006	3648	3200	10	0	0	0	0	0	435	130	1699
2007	3648	3200	10	0	0	0	0	0	435	130	1699
2005	3264	3200	8	0	0	0	0	0	479	130	1699
2007	3648	3200	10	0	0	0	0	0	490	136	1699
2005	2272	1600	4	35	106	50	5	28	160	88	129
2005	2560	1600	5	35	106	50	5	28	160	88	129
2006	2560	1600	5	38	106	50	2	28	160	88	129
2005	2816	1600	6	38	114	50	5	14	160	106	129
2006	2592	2048	5	38	114	10	5	22	160	96	129
2006	2816	2048	6	38	114	10	5	22	160	96	129
2006	2560	2048	5	32	96	50	6	9	175	90	129
2006	2816	2048	6	38	114	0	0	10	175	90	129
2006	2816	2048	6	38	114	0	0	10	170	88	179
2006	2816	2048	6	38	114	0	0	22	150	91	129
2006	2816	2048	6	28	140	0	0	24	195	98	129
2007	3072	2048	7	38	114	60	10	9	175	90	129
2007	3072	2048	7	38	114	60	10	20	145	91	129
2007	3072	2048	7	38	190	70	10	20	145	91	129
2007	3264	2048	8	38	105	60	10	20	155	94	129
2007	3072	2048	7	38	114	60	5	6	122	90	129
2007	3264	2048	8	36	108	60	5	48	108	92	179
2007	3072	2048	7	28	112	40	5	6	142	98	129
2007	4000	2048	12	35	105	60	10	48	115	94	129
2005	2560	2048	4	38	114	50	5	15	160	99	129
2003	2048	1600	3	35	105	50	20	16	220	99	229
2003	2272	2048	3	35	105	50	20	16	220	99	229
2005	3072	2592	7	38	114	20	5	32	230	100	449
2006	3072	2592	7	38	114	20	2	25	230	100	449
2005	3264	2592	8	38	114	20	5	32	245	100	449
2005	2816	2592	6	38	380	60	3	10	385	106	449
2006	3072	2560	7	38	380	60	3	0	410	106	449
2007	3072	2560	7	28	504	10	1	20	460	116	449
2007	3264	2560	8	27	486	10	1	47	365	116	449
2005	2816	2288	6	38	114	30	10	11	180	98	449
2006	3648	2560	10	35	105	60	10	0	195	97	229
2007	4000	3264	12	35	105	60	10	47	125	98	249
2004	2272	2048	3	35	105	50	20	16	200	99	229
2004	2560	2048	4	35	105	50	7	32	200	99	229
2005	2816	2560	6	35	105	50	7	8	195	97	229
2006	3072	2560	7	37	111	60	8	19	140	95	229
2006	3072	2560	7	37	111	60	8	19	190	95	299
2006	3072	2560	7	38	114	60	2	19	190	91	299
2006	3072	2560	7	38	114	50	7	22	190	96	229
2006	3072	2560	7	36	180	70	3	17	160	96	229
2006	3072	2560	7	36	180	70	3	17	170	96	229
2007	3072	2560	7	37	111	60	8	18	160	99	229
2007	3072	2560	7	38	114	50	7	18	195	92	299
2007	3072	2560	7	36	180	70	3	18	195	100	299
2007	3072	2560	7	38	114	50	7	14	155	92	299
2005	3264	2560	8	38	114	50	3	19	200	103	249
2006	3264	2560	8	35	105	60	10	28	185	97	249
2007	3264	2560	8	36	180	70	3	47	125	96	249
2007	3248	2560	8	36	180	70	3	14	125	100	249
2004	2272	2048	3	35	70	50	8	16	165	95	229
2005	2560	2048	4	35	70	50	8	16	165	95	299
2001	1600	800	1	35	70	50	10	8	200	104	1499
2006	2816	2048	6	28	102	50	5	16	155	94	1499
2006	3072	2560	7	28	102	50	5	0	170	94	1499
2003	2048	1600	3	35	105	50	10	16	185	0	1499
2007	2816	2048	6	35	105	50	5	27	155	94	1499
2007	4000	3264	12	28	100	50	5	27	150	54	1499
2007	3072	2560	7	35	105	50	5	27	155	94	1499
2004	2304	1600	4	35	105	50	5	16	148	94	1499
2006	2816	2048	6	35	105	50	5	13	165	94	299
2007	3072	2560	7	28	100	50	5	27	162	95	299
2007	3264	2560	8	28	100	50	5	27	154	95	299
2003	2304	1600	4	35	105	50	10	16	185	0	1499
2006	3072	2560	7	28	102	50	5	0	190	98	1499
2007	3264	2560	8	28	100	50	5	27	165	95	1499
2004	2560	2048	4	35	105	50	5	16	153	94	1499
2005	2560	2560	5	35	105	50	5	16	155	94	1499
2005	2816	2048	6	35	105	50	5	16	155	94	1499
2002	1600	1280	2	35	420	30	3	8	354	125	149
2003	2304	1600	4	35	420	30	5	16	550	87	149
2007	3264	2560	8	28	504	30	1	27	407	118	149
2003	1600	1280	2	35	420	30	5	0	350	114	149
2004	2560	2048	5	36	432	30	5	16	556	87	149
2004	2016	1600	3	35	420	30	5	16	326	108	299
2005	3264	2560	8	35	420	30	5	32	740	141	299
2005	2304	1600	4	35	420	50	5	8	326	102	149
2005	2560	2048	4	36	432	50	5	16	326	108	149
2006	3648	3264	10	35	420	30	5	32	734	141	149
2006	2816	2304	6	36	432	30	5	16	340	113	149
2007	3072	2560	7	36	432	30	5	27	340	113	149
2006	3136	2560	7	0	0	0	0	0	606	146	1499
2007	3648	2816	10	0	0	0	0	0	556	135	1499
2004	2560	2048	4	28	90	30	30	16	705	135	1499
2002	1600	1024	1	35	105	50	15	8	290	99	1499
2003	2048	1600	3	35	105	50	10	32	215	96	1499
2002	2240	1600	3	33	100	30	6	16	420	104	1499
2003	2304	1600	4	35	105	50	10	32	215	96	1499
2001	2240	1600	3	33	100	30	6	32	435	128	1499
2004	2048	1600	3	35	105	50	10	16	210	65	1499
2004	2304	1600	4	35	105	50	10	16	210	65	1499
2004	2560	2048	4	35	105	50	10	16	207	88	1499
2005	2304	1600	4	35	105	50	5	14	188	94	1499
2006	2560	2048	5	35	105	50	5	14	188	111	1499
2007	2816	2048	6	35	105	50	5	27	188	94	149
2007	3072	2560	7	35	105	50	5	27	188	94	1499
2005	3840	3072	8	28	112	50	5	32	220	106	1499
2006	4224	3840	10	28	112	50	5	13	220	106	1499
2005	2304	1600	4	37	222	50	5	14	224	101	149
2005	2560	2048	5	37	222	50	5	14	224	101	149
2006	2560	2048	5	37	222	50	5	14	230	100	149
2006	2816	2048	6	37	222	50	5	14	230	100	149
2007	3072	2560	7	37	222	50	5	27	230	99	149
2007	3072	2560	7	37	222	50	5	27	234	99	149
2006	2560	2048	4	35	350	40	5	13	250	112	299
2007	2816	2048	6	28	280	50	5	13	260	105	299
2007	3072	2560	7	28	280	50	5	13	280	105	299
2001	1280	640	1	42	42	60	30	8	240	105	509
2000	1600	800	1	34	108	50	10	16	390	128	509
2000	1600	800	1	34	108	50	10	16	630	144	509
2003	3008	2400	6	0	0	0	0	0	650	129	799
2005	3008	2400	6	0	0	0	0	0	565	125	799
2006	3008	2400	6	0	0	0	0	0	565	125	799
2004	3008	2400	6	0	0	0	0	0	605	125	799
2005	3008	2400	6	0	0	0	0	0	605	125	799
2006	3008	2400	6	0	0	0	0	0	660	129	509
2007	3008	2400	6	0	0	0	0	0	646	129	509
2006	3872	3008	10	0	0	0	0	0	793	142	799
2006	3008	2400	6	0	0	0	0	0	585	129	509
2002	1600	1024	1	38	114	50	10	16	230	104	269
2004	2048	1600	3	38	114	50	2	16	180	94	149
2001	2048	1024	3	37	111	40	14	16	240	92	269
2002	2048	1600	3	38	114	4	5	16	230	104	269
2002	2048	1024	3	37	111	40	14	16	240	92	269
2003	2048	1600	3	38	114	40	10	16	225	105	269
2003	2048	1600	3	38	114	40	10	12	225	109	269
2003	2048	1600	3	37	104	30	1	16	208	82	269
2001	2240	1120	3	37	111	40	14	16	240	92	269
2002	2240	1120	3	37	111	40	14	16	240	92	269
2004	2288	1600	3	37	104	30	1	16	200	82	269
2003	2288	1600	3	37	187	60	2	16	250	100	149
2005	2560	2048	4	32	96	50	6	12	180	91	149
2003	2592	2048	5	37	187	60	2	16	250	100	149
2003	2592	2048	5	37	187	60	2	16	250	100	149
2005	2848	2272	6	36	108	50	5	12	200	91	149
2004	3056	2592	7	37	187	60	2	32	255	100	149
2006	3264	2592	8	38	114	35	6	24	145	89	249
2006	3648	3072	10	38	114	35	6	22	145	89	149
2007	3648	3072	10	38	114	35	6	22	145	89	269
2006	2816	2272	6	34	102	50	5	10	180	87	149
2006	2816	2272	6	34	102	50	5	13	180	90	149
2007	3072	2592	7	36	108	50	15	11	190	95	149
2007	3264	2592	8	37	112	40	15	10	175	94	149
2006	2816	2560	6	35	105	70	10	22	170	89	249
2006	3072	2560	7	38	114	40	5	22	180	94	149
2007	3072	2592	7	38	114	40	10	22	120	97	269
2007	3264	2592	8	36	108	40	5	21	136	97	149
2004	2304	1600	4	37	370	40	10	16	375	73	149
2003	2048	1024	3	35	105	40	6	16	115	83	149
2007	3648	3072	10	38	114	35	6	22	116	86	249
2004	2048	1600	3	38	114	40	6	11	175	89	269
2003	2304	1600	4	35	105	40	6	11	115	83	149
2004	2304	1600	4	35	105	40	6	11	175	89	149
2005	2304	1600	4	35	107	40	6	11	155	89	149
2004	2304	1600	4	35	105	40	6	10	120	84	149
2004	2560	2304	5	35	107	40	6	11	180	89	149
2005	2560	2304	5	35	107	40	6	11	155	89	149
2004	2560	2048	4	36	107	40	6	10	120	84	149
2005	2560	2304	4	35	107	40	6	9	120	84	149
2005	2560	2304	5	35	107	40	6	9	120	83	149
2005	2816	2560	6	37	112	40	15	23	120	86	149
2005	2816	2560	6	35	106	40	6	11	135	89	149
2006	3072	2592	7	37	112	40	15	23	120	86	149
2004	2560	2048	5	36	180	60	3	32	165	91	149
2005	2560	2048	5	36	180	60	3	32	165	91	149
2006	2816	2592	6	37	112	40	15	12	155	95	249
2006	3072	2592	7	37	112	40	15	12	155	95	149
2007	3072	2592	7	38	112	40	15	20	155	95	269
2006	2816	2560	6	38	114	40	1	10	160	107	269
2006	3072	2560	7	38	114	40	1	21	150	107	269
2007	3072	2560	7	38	114	40	1	21	155	108	269
2005	2560	2304	4	38	114	40	1	10	135	102	269
2005	2816	2560	6	38	114	40	1	10	135	102	269
2004	2560	2048	5	36	107	40	6	14	145	112	149
2007	3264	2592	8	38	266	40	8	0	0	94	249
2006	3264	2592	8	28	85	30	1	26	450	133	229
2005	2560	2048	4	28	135	30	1	12	195	100	99
2005	2560	2048	4	28	135	30	1	28	195	100	99
2005	2560	2048	4	28	200	30	1	26	165	95	99
2006	2560	2048	4	28	160	30	1	28	180	95	99
2006	2816	2048	6	28	200	30	1	26	165	95	99
2006	2816	2048	6	28	160	30	1	26	165	95	199
2006	3072	2592	7	28	200	30	1	26	165	96	99
2007	3072	2592	7	28	200	30	1	54	165	100	99
2007	3264	3264	8	28	200	30	1	24	135	100	99
2005	2560	2048	4	32	96	30	1	12	190	91	399
2006	2816	2048	6	36	108	50	6	12	200	91	399
2003	2048	1280	3	35	105	30	1	8	230	124	99
2005	3264	2592	8	28	28	30	2	26	200	107	4999
2007	3648	3264	10	24	72	30	1	26	260	112	399
2005	3264	2592	8	28	85	30	1	26	260	114	99
2000	1792	1280	2	38	114	4	4	8	500	144	399
1998	1280	640	1	35	105	40	8	4	320	135	149
1999	1792	896	2	38	86	40	4	8	340	131	149
1999	1792	896	2	38	114	40	4	8	380	131	177
2000	1600	800	1	40	40	30	13	8	300	110	149
2000	2048	1024	3	35	105	24	1	8	320	135	1699
2001	2048	1024	3	35	105	24	1	8	320	142	4999
2000	2048	1024	3	35	105	24	1	8	450	157	149
2001	2272	1120	3	35	105	24	1	8	340	135	99
2004	2048	1280	3	28	100	30	1	8	215	112	99
2005	2592	2272	5	35	105	80	5	11	185	107	229
2005	2592	2272	5	31	31	100	2	16	175	97	229
2005	2592	2272	5	28	135	60	1	32	185	106	229
2002	1280	640	1	43	43	80	40	8	250	106	299
2004	1600	1024	1	35	47	120	19	6	135	98	229
2002	1600	1024	1	33	100	80	20	0	0	0	229
2004	1600	1024	1	35	76	80	15	6	210	107	229
2004	2048	1600	3	35	33	10	19	16	137	98	299
2002	2048	1024	3	34	102	80	20	0	320	114	229
2004	2048	1620	3	35	114	80	5	0	157	108	229
2004	2048	1600	4	35	33	10	19	16	137	98	299
2002	2272	1600	3	34	102	80	20	0	340	116	229
2004	2272	2048	3	35	114	80	5	32	210	107	229
2004	2592	2048	5	38	114	80	6	32	195	110	229
2003	2272	1120	3	38	114	80	6	0	210	106	229
2006	3872	3008	10	0	0	0	0	0	793	142	199
2006	3008	2400	6	0	0	0	0	0	570	125	299
2006	3008	2400	6	0	0	0	0	0	605	125	299
2005	2595	2272	5	39	117	50	5	50	155	90	229
2006	2816	2592	6	39	117	50	1	45	0	96	229
2007	3072	2592	7	38	114	80	5	450	210	101	119
2007	3072	2592	7	38	114	80	5	20	180	90	199
2007	3264	2592	8	36	108	80	5	173	0	95	149
2007	3264	2592	8	38	114	80	5	19	160	93	229
2007	3072	2592	7	35	105	80	5	20	170	97	199
2007	3072	2592	7	35	105	80	5	19	180	98	119
2007	3264	2592	7	38	114	80	10	16	183	95	99
2007	3072	2592	7	28	101	80	5	450	210	105	119
2007	3072	2592	7	38	266	80	10	0	0	94	119
2007	3264	2592	8	38	114	80	5	10	183	95	99
2006	3648	3136	10	35	105	80	4	20	190	97	229
2007	3648	3136	10	35	190	80	1	0	240	107	229
2007	3648	2592	10	34	102	80	4	20	0	97	229
2007	4000	2592	12	34	102	80	4	20	0	97	229
2006	3072	2816	7	38	114	80	1	15	155	95	229
2006	3072	2688	7	38	270	80	1	19	290	106	229
2007	3264	2592	8	34	102	80	4	20	0	97	229
2005	3264	2400	8	28	420	10	3	0	910	136	299
2007	3648	3476	10	35	105	80	4	45	220	100	199
2007	3648	3476	10	38	190	80	1	45	254	105	199
2007	2816	2048	6	35	105	80	5	16	186	100	99
2007	3072	2592	7	35	105	80	5	16	186	100	99
2007	3264	3072	8	35	105	80	4	45	220	100	99
2007	3264	2592	8	38	190	80	1	20	204	100	149
2007	3264	2592	8	38	190	80	1	20	222	104	149
2003	2048	2048	3	35	114	80	5	0	134	102	229
2004	2272	2048	4	35	105	80	5	0	169	102	229
2004	2272	1136	3	35	35	60	6	0	165	97	229
2004	2272	2048	3	35	113	80	5	0	230	106	229
2004	2592	2272	5	38	114	80	5	0	180	106	229
2004	2592	2272	5	35	113	80	5	256	230	106	229
2004	2816	2560	6	38	114	80	6	0	220	106	229
2005	3072	2816	7	38	114	80	4	128	220	106	229
2005	3264	2816	8	38	114	80	4	32	220	106	229
2001	2288	1600	3	35	98	50	10	16	340	106	429
2003	2048	1600	3	37	104	20	2	8	205	98	429
2003	2048	1600	3	36	108	50	16	8	190	100	149
2004	2048	1600	3	37	112	50	2	16	185	91	1399
2004	2288	1600	3	37	105	50	2	16	185	91	1399
2001	1600	640	1	35	98	50	10	8	340	106	429
1999	1024	640	0	38	38	60	10	4	260	105	149
1999	1280	640	1	34	102	80	20	4	350	128	149
2006	2640	1776	4	28	28	0	0	0	270	109	1599
2003	2268	1134	3	0	0	0	0	0	950	152	1599
2006	2640	1776	4	0	0	0	0	0	750	144	19
2002	2268	1134	3	0	0	0	0	0	950	152	19
1998	1024	640	0	37	518	80	3	1	950	140	1399
2000	1600	1600	1	37	370	80	3	8	980	125	1399
2001	1600	1024	1	39	117	50	3	8	620	144	1399
2002	1600	1280	1	41	123	50	3	6	610	138	1399
2001	2048	1600	3	34	102	50	4	8	620	144	1399
2003	2048	1632	3	41	123	50	10	1	522	132	1399
2002	2272	1600	3	34	102	50	4	6	640	138	1399
2003	2592	2048	5	34	102	50	4	1	606	139	1399
1998	1344	640	1	28	140	20	0	8	900	130	149
1999	1344	640	1	28	140	20	0	8	900	130	149
1999	1600	1024	1	38	190	80	8	4	475	107	149
2000	1856	1600	2	38	190	50	2	8	482	107	149
1999	1600	640	1	37	37	50	10	4	300	103	429
2000	1856	1600	2	37	37	25	10	8	280	103	429
2001	2560	2048	4	38	190	50	2	16	667	162	149
2002	2560	2048	4	38	190	50	2	32	659	162	149
2003	3264	2592	8	28	200	50	2	0	906	134	429
2004	2592	2048	5	38	114	50	8	32	202	98	429
2007	2816	2048	6	38	114	50	8	2	238	93	429
2005	2592	2048	5	36	432	50	2	32	591	108	429
2006	2816	2048	6	36	432	50	2	32	490	108	429
2007	3264	3264	8	38	380	50	2	31	264	106	429
2006	3072	2592	7	36	432	50	2	32	490	108	429
2007	3264	2592	8	31	465	50	2	31	405	110	429
2007	3264	2592	8	31	465	50	2	31	440	110	429
2004	2304	1280	4	32	96	12	12	16	152	95	429
2004	2592	2048	5	38	114	50	8	32	215	51	429
2005	2592	2048	5	38	114	50	1	32	240	51	399
2005	3264	2592	8	38	114	50	6	32	139	94	429
2006	3264	2592	10	38	114	50	6	32	139	94	399
2000	2048	1600	3	39	117	50	10	8	250	114	429
2003	2592	2048	5	38	114	50	10	32	206	105	149
2004	2592	2048	5	38	114	50	10	32	180	108	149
2004	3072	2592	7	38	114	50	6	32	180	108	149
2002	1600	1280	1	39	117	50	10	16	214	114	399
2001	1216	1024	1	42	42	60	3	4	230	123	399
2005	3072	2592	7	38	114	50	6	32	180	104	399
2001	1920	1600	2	36	36	25	10	8	194	113	429
2001	1280	1024	1	41	123	50	3	4	250	143	149
2002	1600	1280	1	33	33	10	10	8	231	106	429
2003	2048	1632	3	33	33	10	10	16	217	101	429
2004	2272	1600	3	33	33	10	10	16	180	106	429
2001	2048	1600	3	39	117	50	10	8	214	113	429
2001	1600	1024	1	41	123	50	3	4	250	143	149
2002	1600	1280	1	41	82	8	8	16	275	127	429
2003	2048	1632	3	41	82	8	8	16	280	123	429
2002	2048	1600	3	39	117	50	10	16	214	114	149
2002	2048	1600	3	39	117	50	10	16	284	125	149
2003	2048	1632	3	39	117	50	10	16	259	120	149
2004	2272	1600	3	39	117	50	10	16	243	116	149
2003	2048	1632	3	39	117	50	10	16	206	105	429
2002	2272	1600	3	39	117	50	10	16	206	113	429
2003	2592	2048	5	38	114	50	10	16	259	120	429
2004	2592	2048	5	38	114	50	10	32	236	117	429
2005	3888	3264	10	24	120	0	0	0	995	139	429
2000	1280	640	1	39	117	25	3	4	370	113	149
2005	2304	2048	4	32	96	0	0	32	184	99	149
2000	1600	1280	1	39	117	25	3	4	370	113	149
2005	2304	2048	4	39	117	50	10	32	249	97	149
2006	2816	2048	6	31	93	12	0	32	180	100	149
2007	3072	2592	7	35	105	35	5	24	178	91	149
2000	2048	1600	3	34	102	25	4	8	420	117	149
2007	3072	2592	7	35	105	35	5	24	178	91	149
2001	2048	1600	3	34	102	50	4	8	444	125	149
2007	3264	2592	8	37	222	50	2	54	245	93	149
2001	2272	1600	3	34	102	50	4	16	444	125	149
2005	2304	2048	4	39	117	50	10	32	253	97	149
2003	2592	2048	5	38	114	25	1	32	180	91	399
2006	3072	2592	7	38	114	50	1	56	168	90	399
2007	3264	2592	8	35	175	50	1	31	197	92	399
2004	2592	2048	5	38	114	50	8	32	186	103	399
2007	3264	2592	8	38	114	50	1	31	197	90	399
2007	3264	3264	8	35	175	50	1	31	160	94	399
2004	2592	2048	5	38	114	50	8	32	186	90	399
2006	3072	2592	7	38	114	50	1	58	172	95	399
2005	2592	2048	5	38	114	50	8	32	150	99	399
2005	2592	2048	5	38	114	50	8	32	139	94	399
2006	3072	2592	7	38	114	50	1	58	170	95	399
2005	2592	2048	5	38	114	50	8	32	134	92	149
2005	2816	2048	6	38	114	50	1	32	185	90	429
2002	1280	640	1	33	33	10	10	8	118	85	149
2002	1632	640	2	33	33	10	10	8	118	85	399
2003	1632	640	2	33	33	10	10	8	130	85	149
2003	1632	640	2	33	33	10	10	8	130	83	149
2003	1632	640	2	33	33	10	10	8	132	100	149
2003	1632	640	2	33	33	10	10	8	200	60	149
2003	2592	2048	5	34	136	40	10	32	298	99	429
2004	3072	2592	7	34	136	40	10	0	390	120	429
2004	2592	2048	5	38	114	50	6	32	250	91	429
2006	3264	2592	8	38	114	50	6	64	192	94	149
2007	4000	3264	12	35	105	34	5	31	195	91	399
2006	2816	2048	6	38	114	50	2	32	153	90	149
2007	3072	2592	7	38	114	30	2	56	149	90	429
2005	2592	2048	5	38	114	50	6	32	250	91	429
2006	2816	2048	6	38	114	50	2	32	157	89	149
2007	3072	2592	7	38	114	30	2	56	147	90	429
2005	3072	2592	7	38	114	50	6	32	250	91	149
2006	3072	2592	7	38	114	50	2	58	157	89	149
2007	3072	2592	7	35	105	50	4	31	175	91	149
2007	3254	2592	8	35	105	50	4	31	175	91	429
2006	3872	3896	10	0	0	0	0	0	638	133	599
2007	4272	3104	12	0	0	0	0	0	768	142	599
2002	1280	1024	1	37	111	0	0	1	0	0	1399
2002	1600	1024	1	37	111	19	3	1	520	142	1399
1998	640	320	0	40	400	1	1	1	500	138	1399
1999	640	320	0	40	400	1	1	1	500	138	1399
2001	640	320	0	40	400	1	1	1	580	138	1399
1998	1024	640	0	37	111	1	1	1	580	140	1399
1999	1024	640	0	37	111	1	1	1	580	142	1399
2000	1280	1280	1	37	111	1	1	1	0	0	1399
2001	1280	1024	1	39	117	25	3	1	630	143	1399
1999	1280	1024	1	34	270	4	4	1	600	142	1399
2000	1280	1280	1	34	270	4	4	1	0	0	1399
2001	1472	1280	1	41	328	25	3	1	660	126	1399
2000	1600	1600	1	37	370	80	3	1	900	0	1399
2001	1600	1024	1	39	390	25	2	1	990	126	1399
2002	2048	1024	3	35	105	55	12	8	205	91	177
2002	2048	1024	3	35	100	80	10	8	320	116	177
2003	2400	1200	3	35	100	80	10	16	0	0	599
2003	2560	2048	4	35	105	80	10	16	230	93	177
1998	1280	640	1	35	35	50	9	4	290	123	62
2001	1280	640	1	52	52	90	0	8	240	116	62
2001	1600	800	1	39	39	50	0	8	240	116	177
2001	1729	896	2	38	114	40	8	8	320	105	177
1999	1280	640	1	38	115	90	25	4	380	122	62
1999	1600	800	1	40	40	50	10	8	290	112	62
1999	1600	800	1	40	120	90	25	8	350	130	62
2000	1792	896	2	38	86	50	5	4	320	121	449
2001	1792	896	2	38	114	50	5	8	310	123	62
